epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,7201.96,0.64339,0.43918,0.98417,0.80192,0.7462,0.80668,0.61087,0.89658,1.07845,1.30816,0.00194537,0.00194537,0.00194537
130,7257.07,0.63397,0.42194,0.97544,0.80383,0.73513,0.80403,0.60403,0.90841,1.13324,1.32682,0.00192052,0.00192052,0.00192052
131,7312.58,0.6293,0.44299,0.98166,0.79386,0.75173,0.80345,0.60725,0.90884,1.14951,1.32358,0.00189567,0.00189567,0.00189567
132,7367.67,0.62568,0.41662,0.97932,0.79572,0.75158,0.8109,0.61557,0.89933,1.22176,1.30991,0.00187085,0.00187085,0.00187085
133,7423.16,0.64158,0.42318,0.98175,0.77822,0.76925,0.81555,0.61999,0.89547,1.09292,1.31144,0.00184605,0.00184605,0.00184605
134,7478.34,0.63236,0.42137,0.98381,0.8061,0.74689,0.81227,0.61924,0.89351,1.10028,1.30739,0.00182128,0.00182128,0.00182128
135,7534.96,0.63306,0.41658,0.98009,0.805,0.74513,0.80839,0.61809,0.89258,1.21767,1.31262,0.00179654,0.00179654,0.00179654
136,7589.98,0.62372,0.41461,0.98058,0.7768,0.76536,0.80336,0.61286,0.89401,1.18131,1.31139,0.00177184,0.00177184,0.00177184
137,7645.73,0.62101,0.4127,0.96716,0.78743,0.75242,0.80692,0.61636,0.89219,1.12419,1.3071,0.00174718,0.00174718,0.00174718
138,7700.68,0.60869,0.41263,0.96527,0.77892,0.76751,0.8048,0.61454,0.89791,1.09533,1.30895,0.00172255,0.00172255,0.00172255
139,7756.38,0.59149,0.40681,0.94953,0.79209,0.75091,0.80602,0.61486,0.89242,1.17922,1.31131,0.00169798,0.00169798,0.00169798
140,7811.97,0.59627,0.4034,0.95126,0.78805,0.74758,0.80518,0.61314,0.904,1.17139,1.32525,0.00167345,0.00167345,0.00167345
141,7867.21,0.60233,0.40421,0.96059,0.80551,0.74185,0.80945,0.61749,0.89654,1.04878,1.31271,0.00164898,0.00164898,0.00164898
142,7922.77,0.59682,0.40523,0.9537,0.80832,0.74367,0.81124,0.62201,0.88984,1.02921,1.3021,0.00162457,0.00162457,0.00162457
143,7978.07,0.59526,0.39161,0.95331,0.77264,0.77083,0.81297,0.62188,0.89305,1.05172,1.30867,0.00160023,0.00160023,0.00160023
144,8033.68,0.58968,0.39447,0.94831,0.80384,0.73997,0.8103,0.6222,0.90169,1.01435,1.31861,0.00157594,0.00157594,0.00157594
145,8088.92,0.58907,0.38798,0.95314,0.81237,0.74554,0.81563,0.62374,0.89802,1.02611,1.3162,0.00155173,0.00155173,0.00155173
146,8144.55,0.59336,0.38729,0.95237,0.81443,0.74896,0.81448,0.6241,0.89379,1.04146,1.31305,0.00152759,0.00152759,0.00152759
147,8200,0.59205,0.38792,0.95049,0.82493,0.73319,0.81289,0.62602,0.89592,1.05968,1.31502,0.00150353,0.00150353,0.00150353
148,8256.27,0.5836,0.38895,0.94867,0.82085,0.73167,0.81399,0.62627,0.90254,1.13384,1.31791,0.00147956,0.00147956,0.00147956
149,8311.38,0.58606,0.38779,0.9488,0.80463,0.74337,0.81311,0.62243,0.90008,1.12036,1.31513,0.00145566,0.00145566,0.00145566
150,8367.01,0.56761,0.37442,0.9392,0.80788,0.74066,0.81273,0.623,0.90179,1.09306,1.32103,0.00143186,0.00143186,0.00143186
151,8422.21,0.57703,0.37369,0.94368,0.80181,0.75311,0.81274,0.62303,0.90236,1.02403,1.32265,0.00140815,0.00140815,0.00140815
152,8477.66,0.58106,0.38177,0.94864,0.79633,0.75311,0.81008,0.61976,0.91121,1.05268,1.33114,0.00138453,0.00138453,0.00138453
153,8532.99,0.58129,0.37662,0.95054,0.81869,0.75104,0.81356,0.61928,0.91712,1.05987,1.34206,0.00136102,0.00136102,0.00136102
154,8588,0.57165,0.37891,0.93948,0.81623,0.74948,0.81369,0.62199,0.91536,1.08177,1.34161,0.00133761,0.00133761,0.00133761
155,8643.66,0.55841,0.36861,0.93362,0.80363,0.75173,0.81288,0.61923,0.91648,1.05184,1.34665,0.0013143,0.0013143,0.0013143
156,8698.97,0.55818,0.36828,0.93344,0.80559,0.74827,0.81577,0.62069,0.91236,1.03665,1.34427,0.00129111,0.00129111,0.00129111
157,8754.58,0.55065,0.36028,0.9356,0.78574,0.76591,0.81354,0.61802,0.91188,1.05221,1.34572,0.00126804,0.00126804,0.00126804
158,8809.6,0.55498,0.36158,0.94172,0.82337,0.72683,0.81382,0.61934,0.90729,1.07083,1.34268,0.00124508,0.00124508,0.00124508
159,8865.08,0.55123,0.36271,0.93415,0.84151,0.71369,0.81309,0.62095,0.90973,1.09311,1.34886,0.00122225,0.00122225,0.00122225
160,8922.94,0.55717,0.35392,0.93873,0.84522,0.71231,0.81371,0.62326,0.91263,1.07259,1.35043,0.00119954,0.00119954,0.00119954
161,8978.9,0.54261,0.34503,0.92493,0.83866,0.72256,0.81456,0.62547,0.91067,1.05318,1.34801,0.00117696,0.00117696,0.00117696
162,9033.69,0.54296,0.35311,0.92705,0.8081,0.74481,0.81658,0.62749,0.90758,1.06334,1.34416,0.00115451,0.00115451,0.00115451
163,9089.55,0.54878,0.35304,0.92953,0.8019,0.74965,0.81516,0.62777,0.90672,1.08116,1.34329,0.0011322,0.0011322,0.0011322
164,9144.66,0.54313,0.35608,0.92275,0.78564,0.75934,0.81425,0.62663,0.90532,1.07754,1.34361,0.00111003,0.00111003,0.00111003
165,9200.03,0.54076,0.3509,0.92534,0.79312,0.75726,0.81111,0.62461,0.90782,1.06687,1.34795,0.00108801,0.00108801,0.00108801
166,9255.12,0.53504,0.35571,0.92674,0.79408,0.76003,0.81431,0.62707,0.90837,1.06184,1.34977,0.00106613,0.00106613,0.00106613
167,9310.47,0.52093,0.33941,0.91339,0.80376,0.75104,0.81498,0.62894,0.90649,1.06466,1.34999,0.0010444,0.0010444,0.0010444
168,9366.09,0.54004,0.35106,0.92009,0.79761,0.75588,0.81558,0.62826,0.90576,1.05016,1.34706,0.00102283,0.00102283,0.00102283
169,9420.95,0.53015,0.34049,0.92269,0.80872,0.7455,0.81624,0.62932,0.90859,1.03632,1.3499,0.00100141,0.00100141,0.00100141
170,9482.02,0.531,0.34253,0.92209,0.8208,0.73997,0.81758,0.62889,0.91037,1.02203,1.35329,0.000980154,0.000980154,0.000980154
171,9537.23,0.52222,0.34269,0.91835,0.82865,0.73513,0.81776,0.62923,0.91043,1.01597,1.35186,0.000959063,0.000959063,0.000959063
172,9592.66,0.52294,0.33672,0.91714,0.82117,0.73991,0.81919,0.63089,0.91124,1.00667,1.35402,0.000938139,0.000938139,0.000938139
173,9648.26,0.52256,0.33781,0.91299,0.82009,0.74758,0.82106,0.6329,0.90916,0.99626,1.35273,0.000917386,0.000917386,0.000917386
174,9704.24,0.52089,0.33295,0.91274,0.82551,0.73721,0.82096,0.63193,0.91057,0.98894,1.35834,0.000896807,0.000896807,0.000896807
175,9759.01,0.52588,0.33371,0.91329,0.82842,0.7379,0.82145,0.63276,0.90976,0.98599,1.35697,0.000876406,0.000876406,0.000876406
176,9814.81,0.51278,0.32677,0.90452,0.82301,0.73966,0.82129,0.63458,0.90816,0.98696,1.35715,0.000856185,0.000856185,0.000856185
177,9870,0.50764,0.32275,0.91448,0.83857,0.72683,0.82229,0.63542,0.90836,0.9835,1.35904,0.000836148,0.000836148,0.000836148
178,9925.88,0.51077,0.32376,0.90613,0.83921,0.72891,0.82166,0.63547,0.90725,0.97095,1.35847,0.000816298,0.000816298,0.000816298
179,9981.25,0.51051,0.3238,0.90894,0.84397,0.72683,0.82162,0.63538,0.90903,0.96243,1.35969,0.000796638,0.000796638,0.000796638
